Company,address,TIF District,Completion Date,Actual Costs,Actual Grant,Work Items
Richard Hae Dong Park,3142-48 W. Cermak Rd.,Ogden/Pulaski,2012-09-14T00:00:00,113000,68137.5,"balance of interior build-out work, balance of flooring, HVAC, windows including storefront, masonry repairs to storefront, tuckpointing, garage door, electrical wiring in garage, new doors, plumbing for bathroom and drinking fountain"
"The 823 Project, LLC dba Dokku",823 W. Randolph St.,Near West,2012-09-14T00:00:00,79653.77,39826.89,"framing, drywall, joist replacement, subfloor work, materials, GC services, plumbing, and architectural services"
The Fish Guy Market,4423 N Elston,Lawrence Pulaski,2012-09-14T00:00:00,81642.72,61232.04,"entry way and office area wind partition, plumbing supplies, structural steel, flooring, painting, HVAC, walk-in refrigeration, fixed bench seating, and electrical"
Warren Fabisch,3930 N Cicero,Portage Park,2012-09-14T00:00:00,138564.38,100715,"demolition, materials (structural steel, lintels, stone arch and trim), masonry work (lintel installation, tuckpointing, associated masonry repairs), storefront system, windows, doors"
Kyuok Yu,4021-23 W. Madison,Madison/Austin,2013-01-29T00:00:00,155334,116500.5,"demolition, flooring, roofing, drywall, HVAC, plumbing, doors, counters, painting, electrical, and bathroom remodeling"
DOD Corp,4500 N Elston,Lawrence Pulaski,2012-09-17T00:00:00,210312,150000,"complete renovation that shall include new building systems (HVAC, electrical and plumbing), countertops, millwork, ceramic tile flooring, painting, framing and drywall of bathroom, ceiling, and cooler line walls. The exterior will include a new façade with custom wood and glass, windows, wood flooring, security system, brick work, and concrete work"
New Sahiba Boutique,2614 W Devon,Devon/Western,2012-09-17T00:00:00,95948.78,71961.59,"storefront rehab, new awning and signage, windows, doors, interior lighting, bathroom renovation, carpeting, and remodeling of the interior commercial space to accommodate bridal and fitting rooms"
Staropolska Restaurant of Belmont Inc,5247-49 W Belmont,Belmont/Central,2012-09-17T00:00:00,64166.15,48124.61,"HVAC, plumbing, electric, build out of the bar, dining, and reception areas, tile and flooring work, carpeting, ceiling work, bathroom remodeling, painting, and installation of new signage"
Busy Beaver Button Company ,3279 W Armitage,Fullerton Milwaukee,2012-09-19T00:00:00,71245,53433.75,"roofing, masonry, plumbing, concrete, and garage rehab"
"Dientes, Inc.",3333 W. North Ave.,Humboldt Park,2012-09-19T00:00:00,60761.7,45571.28,"demolition, rough carpentry, rough electrical, rough plumbing, HVAC, roofing, masonry repairs, architectural services, and permit expenses"
"Revive Spa, LLC",4862-4 N. Clark St.,Clark/Montrose,2012-09-21T00:00:00,100000,75000,"doors and framing, millwork, cabinetry work, granite work, accoustical ceiling tiles, electrical/lighting, flooring, new bathroom tiles and fixtures, build out of and hard tiles and stones in reception area, painting and finishing"
"Royal Automotive, LLC","5675 N Elston Ave, Ste 1",Elston/Armstrong,2012-09-21T00:00:00,26304.4,19728.3,"permanent security items, tree removal, landscaping, wrought iron fencing, tuckpointing, renovations to entryway to waiting room (includes windows), and parking lot work"
Staropolska Restaurant of Belmont Inc,5247-49 W Belmont,Belmont/Central,2012-09-21T00:00:00,65000,46375.39,"HVAC, plumbing, electric, build out of the bar, dining, reception and entryway areas, installation of new freezer door, tile and flooring work, carpeting, ceiling work, bathroom remodeling, painting, and installation of new signage"
Canine Social Club,5508 N Western,Devon/Western,2012-10-15T00:00:00,3007.29,2255.47,new exterior signage
"The 823 Project, LLC dba Dokku",823 W. Randolph St.,Near West,2012-10-16T00:00:00,79980.35,39990.18,"framing, concrete, HVAC, HVAC materials, plumbing, and electrical"
Farhad Nikamalfard,1358 N Western,Humboldt Park,2012-10-18T00:00:00,39700,29593.37,"drywall, caulking, prime and paint drywall, replace air conditioner unit, replace hot water tank, and complete bathroom renovation"
Atolito Catering,4429 N. Broadway,Wilson Yard,2012-10-19T00:00:00,46500,32362.5,"roofing, storefront rehab, and masonry"
Maryla Beauty Salon,4226 N Milwaukee,Portage Park,2012-10-22T00:00:00,26925,20193.75,"repair of exterior wall where needed, repair defective lintels, replace window panels, repair roof, parapet walls, and broken copings, and tuck-pointing"
El Naranjo,4516 S Ashland,47th/Ashland,2012-10-23T00:00:00,42460,31845,"new sub flooring and tile, drywall, painting, insulation, windows, doors, casing, and baseboards, electrical upgrade, and HVAC system"
Imperial Plating ,7030 W. 60th St. ,Harlem Industrial,2012-10-23T00:00:00,77016,38508,"roofing repairs, grading and repaving of parking lot, installation of three air conditioning units, and installation of new storefront system including awnings, glass windows, and entryway doors"
Jack and Ginger's Dogcare,2559 W Lawrence,Western Ave North,2012-10-23T00:00:00,37000,27750,"HVAC, plumbing, electric, carpentry/framing, and flooring"
Joe Castillo,6158 S Pulaski,63rd/Pulaski,2012-10-23T00:00:00,17750,13312.5,"replacement of windows and doors, repairs to walls, replacement of floor tiles, concrete work, installation of light fixtures and storefront rehab work"
Lawn Bowling Inc ,6750 S Pulaski Rd,63rd/Pulaski,2012-10-23T00:00:00,8289.91,6217.43,lighting retrofit
"New Lion's Den, Inc.",10543-45 S. Ewing Ave.,Ewing Avenue,2012-10-23T00:00:00,127600,95700,"framing, carpentry, walls, ceiling work, HVAC, hood exhaust, plumbing, electrical, and architectural services"
Wasabi Café,3910 N Lincoln,Western Ave South,2012-10-23T00:00:00,307983,150000,complete rehab to accommodate restaurant functionality
Bright Star Management,1143 W Rundell,Central West,2012-10-25T00:00:00,191994.15,134702.2,"replacement of freight elevator with passenger elevator, electrical work"
8948 S Commercial,8948 S Commercial,Commercial Avenue,2012-10-29T00:00:00,273076,150000,"complete renovation that shall include new building systems (HVAC, electrical, and plumbing), carpentry including framing, drywall, ceilings, sub-flooring and flooring, insulation, masonry, iron fence with sliding door, and parking lot in rear"
Cedars Mediterranean Kitchen LLC,1206 E 53rd St,53RD Street,2012-10-29T00:00:00,123805.8,89945.63,"storefront remodeling, electrical, lighting, painting, fiberglass paneling, drywall, tile work, plumbing, booths, HVAC, doors, and associated materials expenses"
Chicago-Springfield Accounting Service LLC,3848 W Chicago,Chicago/Central Park,2012-10-29T00:00:00,80000,5475,"office build-out including: roofing, new framing, drywall, bathrooms, electrical, plumbing, HVAC, cabinets, flooring, and painting. Also included will be the installation of a new catch basin and sump pump in the basement and re-build the back porch"
Dina Novillo,4209 W North,Pulaski Industrial,2012-10-29T00:00:00,26250,19687.5,"carpentry, electrical, HVAC, plumbing, and painting"
Garfield Waters Funeral Home,3409 W. Madison,Midwest,2012-10-29T00:00:00,103199.66,77399.99,"parking lot development including excavation and grading for asphalt parking lot, installation of three catch basins, sewer work, new curbs, concrete work, and landscaping"
Gold Leaf Design Group Inc,1300 S Kostner,Roosevelt/Cicero,2012-10-29T00:00:00,104146,50365,new HVAC system
"Las Tablas on Irving, LLC",4918-20 W. Irving Park Rd.,Portage Park,2012-10-29T00:00:00,230000,150000,the purchase of the adjacent property at 4918 W. Irving Park Rd. for expansion of restaurant operations
Sports Awards,5544 W Armstrong,Elston Armstrong,2012-10-29T00:00:00,46250,23125,roofing 
The House of Glunz,1202-06 N Wells,Near North,2012-10-29T00:00:00,171197.04,66252.22,"plumbing, electrical, HVAC, flooring, ceilings, lighting, and build out of kitchen and prep-kitchen spaces for restaurant build-out"
Christine Belpedio's School of Dance,5945 W Belmont,Belmont/Central,2012-10-30T00:00:00,201638.45,150000,"complete build-out that shall include new building systems (plumbing, HVAC, and electrical), drywall, concrete work, masonry, structural steel columns, rough and finish carpentry, millwork, cabinetry, insulation, doors, windows, flooring including hardwood and dance floor, ceiling, and painting"
"CSC Glass, Inc. ",1928-30 S. Fairfield,Western/Ogden,2012-10-30T00:00:00,57000,37162.5,"masonry, drywall, doors, finish electrical, roofing, and finish plumbing"
Industrial Council of Northwest Chicago (ICNC),2010 W Fulton,Kinzie Industrial Corridor Industrial Corridor,2012-10-30T00:00:00,298190,149095,"bathroom renovations to two of the eight bathrooms approved, including new drywall, carpentry, acoustical ceiling, doors, frames, and hardware, painting, floor prep, toilet partitions and accessories, plumbing, plumbing fixtures, sprinkler, HVAC, tile, electrical, masonry, and concrete work"
Pulaski Animal Hospital,5424 S Pulaski,63rd/Pulaski,2012-10-31T00:00:00,115707.9,57853.95,"concrete work, masonry, steel framing, carpentry, roofing, aluminum and glass, flooring, ceilings, painting, plumbing, HVAC, and electrical"
"2620 W. Fletcher, LLC / Mob Town, Inc.",2620 W Fletcher St,Addison South,2012-11-14T00:00:00,50000,37500,"bathroom renovations, plumbing, HVAC, and water heater work"
Circle Creations DBA Lion Circle ,4600 W. 72nd St. ,Greater Southwest West,2012-11-14T00:00:00,182850,89122,"roofing, skylights, and HVAC rooftop units"
"Dientes, Inc.",3333 W. North Ave.,Humboldt Park,2012-11-14T00:00:00,77430,58072.5,"drywall, rough carpentry, rough electrical, rough plumbing, HVAC, masonry, flooring, doors, insulation, vent stack, windows, storefront glass, power washing, and finish carpentry"
Vanity Box,8619-23 S Cottage Grove,87th/Cottage Grove,2012-11-14T00:00:00,31820,23865,roofing work and new gutters
Hispanic Regional Clinics,5544 W Belmont,Belmont/Central,2012-11-15T00:00:00,50000,15384.06,"remodeling of 2nd floor offices including, finish plumbing, finish electrical, drywall work, and painting"
"J May, Inc.",3267 W. Armitage Ave.,Fullerton Milwaukee,2012-11-15T00:00:00,147680.42,110760.32,"demolition, masonry, carpentry, cabinets, insulation, plumbing, HVAC, electrical, tile work, flooring, storefront rehab, drywall, painting, and survey soft costs"
"Hard Rock Construction, Inc.",315 W. 119th St.,119th/Halsted,2012-11-16T00:00:00,16467,12350.25,"windows and doors, permanent security items, and electrical work (includes lighting and exit signage)"
Mayfair Academy,8701 S. Bennett,Stony Island/Burnside,2012-11-16T00:00:00,199800,149850,"roofing, mechanical A/C, electrical, new ceilings, new floors, and masonry work"
Atelier Jouvence Stonecarving Inc,3223 S Kolin,Little Village,2012-12-13T00:00:00,25923.58,12961.79,"new door, window work, replacement and widening of dock door, plumbing repairs to sprinkler system, and associated materials expenses"
"Industrial Steel & Wire Company of Illinois, LLC",1901 N. Narragansett Ave.,Galewood/Armitage Industrial,2012-12-13T00:00:00,507238.75,150000,roofing and masonry repairs
RB Sign & Design Inc,4543 W Addison,Portage Park,2012-12-13T00:00:00,48325,36243.75,roofing
Ultimate Comprehensive Dentistry,4307 N Central,West Irving Park,2012-12-13T00:00:00,79947,56916.3,"balance of masonry repairs (including aluminum trim to parapet), landscaping, water damage reparation, ceramic tiles, flooring, painting, drop ceilings, windows, and doors"
Bubbly Dynamics LLC,1400 W 46th,47th/Ashland,2012-12-14T00:00:00,30481.92,20500,installation of new windows and masonry
Concept Laboratories,1400 W Wabansia,North Branch (South),2012-12-14T00:00:00,60702.8,30351.4,electrical transformer and windows
The Icon Group Inc,2747 W Taylor,Western/Ogden,2012-12-14T00:00:00,290717.1,145358.55,"parking lot improvements (concrete and paving), masonry, asphalt, electrical, landscaping, fencing, gate, thermal wall systems including window stabilization, insulation, interior and exterior wall construction, galvanized partitioning, doors, HVAC upgrades, electrical upgrades, and floor refinishing"
R & R Glass & Windows,3541-43 N Kenton,Portage Park,2012-12-17T00:00:00,39950,19975,roofing
Sports Awards,5544 W Armstrong,Elston Armstrong,2012-12-17T00:00:00,19650,9825,"chimney restoration, masonry and roofing work"
"Buci, Inc. dba City Olive",5644 N. Clark St.,Clark/Ridge,2012-12-20T00:00:00,21616.15,16212.11,"build-out for retail food operations: demolition, carpentry, framing, drywall, ceilings, flooring, bathrooms, plumbing, electrical, burglar alarm system, and associated materials and permit expenses"
La Villa Restaurant Inc,3632-38 N Pulaski,Avondale,2012-12-20T00:00:00,107157,80367.75,"bathroom renovations, replace ceiling tiles throughout restaurant, replace ceiling tiles in kitchen with drywall fire rated tile, and install cultured stone on walls in dining room"
Strip Wax Bar,1014 W. Monroe St.,Near West,2012-12-20T00:00:00,63825,47868.75,"build out of salon space including framing, flooring, plumbing, electrical, duct work, painting, and installation of new awning"
El Naranjo,4516 S Ashland,47th/Ashland,2013-01-02T00:00:00,48400,4455,"new sub flooring and tile, drywall, painting, insulation, windows, doors, casing, and baseboards, electrical upgrade, and HVAC system"
"The 1985 World Champion XX, Inc.",2824 W Taylor St,Midwest,2013-01-02T00:00:00,93462.88,70097.16,"roofing and associated masonry repairs, plumbing, electrical, HVAC, and architectural expenses"
Williams Landscaping Inc,6050 N. Keystone,Peterson/Pulaski,2013-01-02T00:00:00,149918,108650.03,"masonry and tuckpointing work all around the building, installation of new glass block windows, concrete work in outside equipment storage area and driveway, installation of wrought iron fencing, and roofing work"
Ground Control Vegetarian Cafe,3313-5 W. Armitage Ave.,Fullerton Milwaukee,2013-01-15T00:00:00,37100,24294.98,"flooring, painting, ceilings, fiberglass paneling, tile, carpentry, plumbing, electrical, HVAC, and drywall"
Spoil Me Hair Salon,4668 N Broadway,Wilson Yard,2013-01-15T00:00:00,76511.09,57383.32,"demolition, carpentry, countertops, tile flooring, plumbing fixtures, plumbing, HVAC, electrical, bathrooms, wood flooring, drywall, soffits, painting, awnings, cabinets, lighting, painting, insulation, architectural services, and materials expenses"
Antoinette Patterson,"4386 W. Ogden, 4100 W. Ogden",Ogden/Pulaski,2013-01-18T00:00:00,84900,63675,"masonry work, storefront renovations, framing work, doors, walls, ceilings, drywall and insulation, windows including glass block, electrical work, plumbing work including restroom fixtures, and painting"
